Specification of reservoir parameters			
"Subasin-ID, water_storage_capacity[m**3], dam_height [m], spillway_discharge[m**3/s]"			
332	10454	"5,28"	"19,78"
333	33216	"6,45"	"42,11"
334	49823	"6,91"	"33,75"
335	154628	"8,41"	"100,22"
336	11251	"5,35"	"18,8"
337	9515	"5,2"	"116,19"
338	11171	"5,34"	"29,19"
339	10349	"5,27"	"15,05"
340	8671	"5,11"	"14,69"
341	42728	"6,73"	"41,08"
342	541337	"10,43"	"126,78"
343	26243	"6,19"	"52,95"
344	56073	"7,06"	"80,48"
345	11251	"5,35"	"18,74"
346	21199	"5,97"	"25,28"
347	48620	"6,89"	"28,99"
348	20319	"5,92"	"40,26"
349	171415	"8,56"	"75,79"
350	18080	"5,81"	"25,54"
351	106151	"7,88"	"44,36"
352	425711	"10,01"	"126,32"
353	37296	"6,58"	"35,77"
354	39974	"6,66"	"84,88"
355	75272	"7,42"	"72,13"
356	7878	"5,03"	"13,16"
357	23602	"6,08"	"27,41"
358	56210	"7,06"	"52,01"
359	117133	"8,01"	"121,97"
360	18080	"5,81"	"38,05"
361	30940	"6,37"	"49,3"
362	52902	"6,99"	"43,3"
363	1162022	"11,9"	"167,25"
364	38600	"6,62"	"53,77"
365	858816	"11,3"	"174,15"
366	8589	"5,11"	"25,84"
367	25911	"6,18"	"48,29"
368	42644	"6,73"	"42,31"
369	35967	"6,54"	"42,2"
370	912263	"11,42"	"144,66"
371	18186	"5,81"	"20,99"
372	50103	"6,92"	"99,81"
373	38763	"6,62"	"51,42"
374	223404	"8,96"	"92,32"
375	56134	"7,06"	"73,53"
376	844817	"11,27"	"122,31"
377	20418	"5,93"	"32,51"
378	12252	"5,43"	"21,51"
379	13092	"5,49"	"40,81"
380	330057	"9,58"	"145,19"
381	1153863	"11,89"	"213,81"
382	5404	"4,71"	"12,22"
383	77345	"7,46"	"37,82"
384	8000	"5,04"	"16,53"
385	4279	"4,53"	"13,98"
386	13962	"5,55"	"21,81"
387	13093	"5,49"	"23,12"
388	80042	"7,5"	"84,7"
389	9550	"5,2"	"50,63"
390	9466	"5,19"	"31,09"
391	5508	"4,73"	"23,36"
392	7594	5	"14,46"
393	4843	"4,63"	"10,91"
394	6881	"4,91"	"23,08"
395	3448	"4,36"	"4,17"
396	4432	"4,56"	17
397	2506	"4,13"	"14,38"
398	716	"3,33"	"8,66"
